Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
214073.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	4393.66
214074.consensus	1	1	1	1	1	0	29901	29901	29901	29901	29901	0	1	29901	29901	37.98	29901	29901	1	1	404.67
214075.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.02	29884	29884	1	1	3921.83
214078.consensus	1	1	1	1	1	0	29882	29882	29882	29882	29882	0	1	29882	29882	37.94	29882	29882	1	1	4658.32
214080.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.93	29884	29884	1	1	5511.31
214081.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	1974.30
214083.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.93	29884	29884	1	1	5722.13
214085.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.91	29884	29884	1	1	4768.44
214087.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.05	29884	29884	1	1	9212.29
214089.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.02	29884	29884	1	1	3707.67
214090.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	863.34
214091.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	672.60
214094.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.91	29884	29884	1	1	3600.59
214095.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	7897.20
214098.consensus	1	1	1	1	1	0	29898	29898	29898	29898	29898	0	1	29898	29898	37.90	29898	29898	1	1	4020.34
214103.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	3252.58
214105.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	3393.12
214108.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.93	29884	29884	1	1	3563.78
214109.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	37.88	29893	29893	1	1	3505.84
214110.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	37.91	29893	29893	1	1	4335.46
214111.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.91	29884	29884	1	1	3004.95
214112.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.92	29884	29884	1	1	5093.03
214113.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	5380.81
214114.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	1522.55
214115.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	5344.00
214117.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	37.97	29893	29893	1	1	404.78
214118.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.91	29884	29884	1	1	4775.13
214121.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	3095.30
214122.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	2462.86
214123.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	4296.61
214126.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.01	29884	29884	1	1	8138.13
214127.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.92	29884	29884	1	1	6314.42
214128.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.90	29884	29884	1	1	5350.69
214133.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	4119.26
214142.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.06	29884	29884	1	1	6264.22
214144.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.92	29884	29884	1	1	3650.78
214146.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	37.98	29893	29893	1	1	6787.54
214147.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.88	29884	29884	1	1	5618.39
214149.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	4162.76
214150.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.05	29884	29884	1	1	7542.50
214155.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	3095.30
214158.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.03	29903	29903	1	1	4802.19
214160.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	3777.94
214162.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	4731.63
214171.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.08	29887	29887	1	1	11098.47
214172.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.92	29887	29887	1	1	7688.96
214173.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	37.95	29902	29902	1	1	13059.33
214175.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.02	29884	29884	1	1	9573.68
214176.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.96	29887	29887	1	1	5838.66
214177.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.01	29887	29887	1	1	8716.16
214178.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	3684.25
214179.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	4560.97
214184.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	7883.82
214185.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	6722.66
214187.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.98	29903	29903	1	1	6276.96
214195.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.14	29884	29884	1	1	9891.58
214216.consensus	1	1	1	1	1	0	29878	29878	29878	29878	29878	0	1	29878	29878	37.99	29878	29878	1	1	6650.38
214218.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.90	29884	29884	1	1	4925.71
214220.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.02	29884	29884	1	1	8348.95
214222.consensus	1	1	1	1	1	0	29881	29881	29881	29881	29881	0	1	29881	29881	37.94	29881	29881	1	1	3396.81
214231.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.10	29903	29903	1	1	11557.37
214232.consensus	1	1	1	1	1	0	29881	29881	29881	29881	29881	0	1	29881	29881	38.05	29881	29881	1	1	8888.59
214237.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.02	29884	29884	1	1	10738.19
214246.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	1532.59
214247.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	2526.44
214249.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.92	29884	29884	1	1	1311.74
214266.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	6752.78
214269.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.08	29884	29884	1	1	10510.64
214279.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	4701.51
214281.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.06	29884	29884	1	1	9061.71
214282.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.08	29884	29884	1	1	10259.67
214283.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.02	29884	29884	1	1	13221.12
214284.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.99	29887	29887	1	1	15053.37
214288.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.99	29887	29887	1	1	9576.07
214290.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.09	29884	29884	1	1	10825.19
214291.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	9008.16
214292.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.01	29887	29887	1	1	14146.62
214294.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.10	29884	29884	1	1	9406.37
214298.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.06	29884	29884	1	1	10437.02
214302.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.12	29884	29884	1	1	12113.51
214306.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.03	29884	29884	1	1	18434.61
214307.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	11922.77
214308.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.05	29884	29884	1	1	17557.89
214316.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.17	29884	29884	1	1	17557.89
214322.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	38.17	29893	29893	1	1	15940.19
214327.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.14	29884	29884	1	1	13656.14
214328.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	9670.73
214330.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.17	29887	29887	1	1	18630.17
214332.consensus	1	1	1	1	1	0	29882	29882	29882	29882	29882	0	1	29882	29882	38.15	29882	29882	1	1	15367.11
214357.consensus	1	1	1	1	1	0	29881	29881	29881	29881	29881	0	1	29881	29881	38.03	29881	29881	1	1	8952.18
214361.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	2037.88
214363.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	2335.70
214381.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.01	29884	29884	1	1	6040.02
214384.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	4517.47
214395.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.08	29884	29884	1	1	11889.31
214397.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.08	29884	29884	1	1	10687.99
214406.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.91	29884	29884	1	1	12080.04
214439.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	3747.82
214446.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.05	29884	29884	1	1	7378.53
214448.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	4651.32
214449.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.93	29884	29884	1	1	3292.73
214454.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	1847.14
214462.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	8767.23
214463.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.03	29884	29884	1	1	7288.18
214464.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.01	29884	29884	1	1	8640.07
214465.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	3928.52
214466.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	37.87	29893	29893	1	1	4124.71
214467.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.90	29884	29884	1	1	5564.85
214468.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	6779.55
214469.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	2861.06
214470.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	38.04	29893	29893	1	1	9818.35
214471.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	38.01	29893	29893	1	1	8988.73
214472.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	37.94	29893	29893	1	1	8931.86
214473.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	38.07	29893	29893	1	1	10591.11
214475.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	7422.03
214477.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	37.90	29893	29893	1	1	3549.33
214478.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.02	29884	29884	1	1	9366.22
214480.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	37.96	29893	29893	1	1	4830.56
214481.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.05	29884	29884	1	1	10942.31
214483.consensus	1	1	1	1	1	0	29872	29872	29872	29872	29872	0	1	29872	29872	37.95	29872	29872	1	1	2219.47
214484.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.05	29884	29884	1	1	7719.85
214485.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	37.93	29893	29893	1	1	3211.45
214487.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.02	29884	29884	1	1	10092.36
214490.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.93	29884	29884	1	1	5293.80
214491.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	4042.30
214492.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.89	29884	29884	1	1	2820.91
214494.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.95	29887	29887	1	1	2827.32
214495.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	37.91	29893	29893	1	1	4934.27
214496.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	37.96	29893	29893	1	1	2646.10
214497.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	37.95	29902	29902	1	1	2484.78
214498.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	37.94	29893	29893	1	1	2662.83
214500.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	4989.29
214501.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	8308.79
214502.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	38.10	29893	29893	1	1	12544.74
214503.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.92	29884	29884	1	1	4952.48
214504.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.93	29884	29884	1	1	1997.72
214505.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	1248.16
214506.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.88	29884	29884	1	1	3794.67
214508.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	6230.76
214509.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	6177.22
214538.consensus	1	1	1	1	1	0	29875	29875	29875	29875	29875	0	1	29875	29875	38.00	29875	29875	1	1	5235.15
214539.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.92	29884	29884	1	1	1800.29
214540.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	6354.57
214541.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.09	29884	29884	1	1	9801.23
214542.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	7321.64
214545.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.03	29884	29884	1	1	5929.59
214546.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.16	29884	29884	1	1	11270.24
214549.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	3871.64
214550.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.00	29887	29887	1	1	6491.12
214558.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	1472.36
214559.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	2031.19
214560.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	6756.12
214561.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.03	29884	29884	1	1	3603.94
214563.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.93	29884	29884	1	1	4202.92
214565.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.93	29884	29884	1	1	4413.73
214566.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.94	29887	29887	1	1	3018.03
214567.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.90	29884	29884	1	1	2399.28
214568.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.91	29884	29884	1	1	2994.91
214571.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	1475.71
214573.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	6759.47
214574.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.93	29884	29884	1	1	866.68
214575.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	3068.53
214577.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.90	29884	29884	1	1	4169.46
214578.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.03	29884	29884	1	1	10353.37
214580.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.89	29884	29884	1	1	3526.97
214581.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	37.94	29902	29902	1	1	6313.96
214583.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	625.75
214585.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.93	29884	29884	1	1	2636.86
214587.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.07	29884	29884	1	1	10139.20
214588.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.90	29884	29884	1	1	4668.05
214591.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.01	29884	29884	1	1	4647.97
214593.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	38.07	29902	29902	1	1	9544.51
214594.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	37.96	29902	29902	1	1	3615.14
214596.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	675.95
214597.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	8215.10
214602.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.06	29884	29884	1	1	4303.31
214604.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	4681.43
214605.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.98	29887	29887	1	1	11118.55
214607.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.05	29884	29884	1	1	8650.11
214608.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	7860.39
214609.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.97	29903	29903	1	1	7470.82
214611.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.87	29887	29887	1	1	4560.51
214623.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	5755.59
214625.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.09	29884	29884	1	1	9901.62
214628.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.03	29884	29884	1	1	7826.93
214633.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.06	29884	29884	1	1	5842.59
214639.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.10	29884	29884	1	1	12150.31
214650.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.02	29884	29884	1	1	8128.10
214662.consensus	1	1	1	1	1	0	29896	29896	29896	29896	29896	0	1	29896	29896	37.93	29896	29896	1	1	2709.39
214665.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	876.72
214666.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	361.40
214668.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	2369.16
214669.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	6792.93
214670.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	749.56
214671.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	4487.35
214672.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	227.55
214673.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.91	29887	29887	1	1	4767.96
214674.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	9804.58
214677.consensus	1	1	1	1	1	0	29899	29899	29899	29899	29899	0	1	29899	29899	37.95	29899	29899	1	1	1063.58
214678.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	37.97	29893	29893	1	1	404.78
214679.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	244.28
214680.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	709.41
214683.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	37.97	29893	29893	1	1	1639.18
214684.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	37.96	29893	29893	1	1	424.85
214685.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	4236.38
214686.consensus	1	1	1	1	1	0	29899	29899	29899	29899	29899	0	1	29899	29899	37.94	29899	29899	1	1	2153.92
214688.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.92	29887	29887	1	1	7508.28
214690.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.89	29884	29884	1	1	4497.39
214813.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	5789.05
214814.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.93	29884	29884	1	1	5364.07
214815.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	9654.00
214816.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	6682.51
214839.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	6270.91
214844.consensus	1	1	1	1	1	0	29907	29907	29907	29907	29907	0	1	29907	29907	38.16	29907	29907	1	1	15815.70
214845.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	4115.91
214848.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	2579.98
214851.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.07	29884	29884	1	1	8700.31
214855.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.06	29884	29884	1	1	6495.11
